date,prediction,start,stop,duration,day
21/12/2015,,17:41:00,17:56:00,15,Mon
22/12/2015,,08:11:00,08:27:00,16,Tue
22/12/2015,,18:19:00,18:33:00,14,Tue
29/12/2015,,08:27:00,08:40:00,13,Tue
29/12/2015,,18:02:00,18:17:00,15,Tue
30/12/2015,,08:31:00,08:44:00,13,Wed
30/12/2015,,18:21:00,18:35:00,14,Wed
31/12/2015,,08:41:00,08:55:00,14,Thu
05/01/2016,,07:57:00,08:25:00,28,Tue
06/01/2016,,08:16:00,08:44:00,28,Wed
07/01/2016,,08:20:00,08:52:00,32,Thu
11/01/2016,,08:13:00,08:48:00,35,Mon
11/01/2016,,18:13:00,18:28:00,15,Mon
12/01/2016,,07:51:00,08:16:00,25,Tue
14/01/2016,,08:13:00,09:06:00,53,Thu
15/01/2016,,09:39:00,09:53:00,14,Fri
18/01/2016,,09:19:00,09:36:00,17,Mon
18/01/2016,,18:21:00,18:36:00,15,Mon
19/01/2016,,09:24:00,09:45:00,21,Tue
19/01/2016,,18:04:00,18:22:00,18,Tue
20/01/2016,,09:15:00,09:32:00,17,Wed
20/01/2016,,18:21:00,18:35:00,14,Wed
21/01/2016,,07:50:00,08:15:00,25,Thu
22/01/2016,,18:14:00,18:30:00,16,Fri
25/01/2016,,09:15:00,09:33:00,18,Mon
25/01/2016,,18:38:00,18:53:00,15,Mon
27/01/2016,,07:43:00,08:05:00,22,Wed
27/01/2016,,17:53:00,18:11:00,18,Wed
28/01/2016,,18:13:00,18:30:00,17,Thu
29/01/2016,,07:44:00,08:09:00,25,Fri
29/01/2016,,17:32:00,17:48:00,16,Fri
02/02/2016,,08:05:00,08:37:00,32,Tue
08/02/2016,,18:20:00,18:37:00,17,Mon
09/02/2016,,18:22:00,18:39:00,17,Tue
10/02/2016,,07:43:00,08:07:00,24,Wed
10/02/2016,,18:23:00,18:38:00,15,Wed
11/02/2016,,09:45:00,10:00:00,15,Thu
11/02/2016,,18:42:00,18:58:00,16,Thu
12/02/2016,,09:35:00,09:51:00,16,Fri
12/02/2016,,18:00:00,18:16:00,16,Fri
15/02/2016,,07:53:00,08:15:00,22,Mon
15/02/2016,,17:54:00,18:11:00,17,Mon
16/02/2016,,08:05:00,08:28:00,23,Tue
16/02/2016,,18:35:00,18:50:00,15,Tue
17/02/2016,,08:10:00,08:31:00,21,Wed
17/02/2016,,18:14:00,18:30:00,16,Wed
18/02/2016,,08:44:00,09:02:00,18,Thu
18/02/2016,,17:57:00,18:13:00,16,Thu
19/02/2016,,07:58:00,08:20:00,22,Fri
19/02/2016,,18:16:00,18:31:00,15,Fri
22/02/2016,,08:15:00,08:43:00,28,Mon
24/02/2016,,12:47:00,13:03:00,16,Wed
24/02/2016,,19:11:00,19:26:00,15,Wed
25/02/2016,,08:10:00,08:39:00,29,Thu
25/02/2016,,18:02:00,18:18:00,16,Thu
26/02/2016,,08:27:00,08:50:00,23,Fri
29/02/2016,,08:12:00,08:43:00,31,Mon
29/02/2016,,18:22:00,18:39:00,17,Mon
03/03/2016,,09:11:00,09:29:00,18,Thu
04/03/2016,,08:12:00,08:41:00,29,Fri
04/03/2016,,17:38:00,17:55:00,17,Fri
07/03/2016,,08:25:00,08:55:00,30,Mon
07/03/2016,,19:00:00,19:17:00,17,Mon
10/03/2016,,08:10:00,08:41:00,31,Thu
10/03/2016,,18:08:00,18:25:00,17,Thu
11/03/2016,,08:19:00,08:43:00,24,Fri
11/03/2016,,18:14:00,18:30:00,16,Fri
15/03/2016,,17:40:00,18:07:00,27,Tue
16/03/2016,,08:36:00,09:12:00,36,Wed
17/03/2016,,08:23:00,08:50:00,27,Thu
17/03/2016,,18:17:00,18:32:00,15,Thu
18/03/2016,,08:57:00,09:14:00,17,Fri
21/03/2016,,08:19:00,08:46:00,27,Mon
21/03/2016,,18:24:00,18:40:00,16,Mon
22/03/2016,,09:15:00,09:45:00,30,Tue
22/03/2016,,18:06:00,18:22:00,16,Tue
23/03/2016,,07:51:00,08:19:00,28,Wed
23/03/2016,,17:58:00,18:16:00,18,Wed
24/03/2016,,08:04:00,08:29:00,25,Thu
24/03/2016,,17:55:00,18:17:00,22,Thu
30/03/2016,,08:24:00,08:43:00,19,Wed
30/03/2016,,18:20:00,18:35:00,15,Wed
31/03/2016,,08:06:00,08:25:00,19,Thu
31/03/2016,,18:28:00,18:44:00,16,Thu
05/04/2016,,08:54:00,09:15:00,21,Tue
05/04/2016,,17:50:00,18:06:00,16,Tue
06/04/2016,,08:30:00,08:52:00,22,Wed
06/04/2016,,18:16:00,18:32:00,16,Wed
07/04/2016,,08:35:00,08:54:00,19,Thu
07/04/2016,,17:59:00,18:14:00,15,Thu
08/04/2016,,08:21:00,08:38:00,17,Fri
08/04/2016,,18:31:00,18:48:00,17,Fri
11/04/2016,,08:12:00,08:38:00,26,Mon
12/04/2016,,08:58:00,09:23:00,25,Tue
12/04/2016,,18:09:00,18:25:00,16,Tue
14/04/2016,29,08:16:00,08:42:00,26,Thu
14/04/2016,20,18:25:00,18:44:00,19,Thu
15/04/2016,,18:34:00,18:49:00,15,Fri
25/04/2016,,09:40:00,09:58:00,18,Mon
25/04/2016,,18:04:00,18:21:00,17,Mon
26/04/2016,24,08:06:00,08:27:00,21,Tue
26/04/2016,19,17:34:00,17:53:00,19,Tue
27/04/2016,24,09:04:00,09:23:00,19,Wed
28/04/2016,20,18:08:00,18:24:00,16,Thu
29/04/2016,23,08:34:00,08:54:00,20,Fri
30/04/2016,15,07:32:00,07:44:00,12,Sat
03/05/2016,26,08:30:00,08:57:00,27,Tue
03/05/2016,16,19:26:00,19:39:00,13,Tue
04/05/2016,20,09:25:00,09:43:00,18,Wed
05/05/2016,20,17:56:00,18:13:00,17,Thu
06/05/2016,17,18:16:00,18:30:00,14,Fri
09/05/2016,19,08:27:00,08:51:00,24,Mon
09/05/2016,,18:31:00,18:44:00,13,Mon
10/05/2016,26,08:48:00,09:12:00,24,Tue
10/05/2016,17,19:01:00,19:15:00,14,Tue
11/05/2016,20,07:26:00,07:46:00,20,Wed
11/05/2016,17,19:23:00,19:37:00,14,Wed
12/05/2016,21,07:36:00,07:59:00,23,Thu
12/05/2016,17,19:20:00,19:34:00,14,Thu
16/05/2016,24,08:18:00,08:42:00,24,Mon
16/05/2016,19,18:18:00,18:34:00,16,Mon
17/05/2016,20,08:09:00,08:34:00,25,Tue
17/05/2016,20,18:43:00,18:59:00,16,Tue
19/05/2016,24,08:18:00,08:40:00,22,Thu
19/05/2016,17,18:31:00,18:44:00,13,Thu
20/05/2016,19,07:15:00,07:31:00,16,Fri
20/05/2016,16,18:51:00,19:04:00,13,Fri
31/05/2016,24,08:10:00,08:31:00,21,Tue
31/05/2016,17,18:06:00,18:21:00,15,Tue
01/06/2016,20,08:14:00,08:34:00,20,Wed
02/06/2016,23,08:15:00,08:32:00,17,Thu
02/06/2016,15,20:19:00,20:33:00,14,Thu
03/06/2016,21,08:18:00,08:34:00,16,Fri
06/06/2016,17,18:21:00,18:36:00,15,Mon
07/06/2016,25,08:00:00,08:24:00,24,Tue
07/06/2016,18,17:56:00,18:10:00,14,Tue
09/06/2016,21,18:11:00,18:30:00,19,Thu
10/06/2016,20,07:53:00,08:11:00,18,Fri
10/06/2016,16,18:31:00,18:44:00,13,Fri
13/06/2016,19,07:45:00,08:08:00,23,Mon
13/06/2016,16,18:24:00,18:38:00,14,Mon
14/06/2016,20,07:20:00,07:36:00,16,Tue
14/06/2016,19,18:07:00,18:21:00,14,Tue
15/06/2016,20,08:14:00,08:40:00,26,Wed
16/06/2016,21,08:08:00,08:27:00,19,Thu
16/06/2016,16,18:23:00,18:38:00,15,Thu
17/06/2016,19,08:48:00,09:03:00,15,Fri
17/06/2016,16,18:42:00,18:55:00,13,Fri
20/06/2016,23,08:17:00,08:41:00,24,Mon
20/06/2016,16,18:33:00,18:46:00,13,Mon
23/06/2016,23,08:20:00,08:47:00,27,Thu
24/06/2016,19,08:28:00,08:46:00,18,Fri
27/06/2016,18,06:52:00,07:06:00,14,Mon
27/06/2016,16,18:49:00,19:01:00,12,Mon
28/06/2016,19,07:19:00,07:36:00,17,Tue
29/06/2016,20,07:42:00,08:05:00,23,Wed
29/06/2016,16,19:33:00,19:46:00,13,Wed
30/06/2016,17,18:28:00,18:41:00,13,Thu
04/07/2016,16,18:19:00,18:34:00,15,Mon
05/07/2016,19,12:59:00,13:14:00,15,Tue
05/07/2016,17,18:27:00,18:41:00,14,Tue
06/07/2016,21,07:53:00,08:13:00,20,Wed
06/07/2016,18,11:16:00,11:31:00,15,Wed
07/07/2016,22,08:25:00,08:43:00,18,Thu
08/07/2016,18,09:50:00,10:04:00,14,Fri
08/07/2016,17,18:05:00,18:19:00,14,Fri
09/07/2016,15,13:58:00,14:10:00,12,Sat
11/07/2016,22,08:01:00,08:21:00,20,Mon
11/07/2016,16,19:05:00,19:18:00,13,Mon
12/07/2016,18,18:17:00,18:31:00,14,Tue
13/07/2016,28,08:03:00,08:36:00,33,Wed
13/07/2016,16,18:46:00,18:58:00,12,Wed
14/07/2016,21,08:03:00,08:22:00,19,Thu
14/07/2016,16,19:14:00,19:27:00,13,Thu
19/07/2016,22,08:07:00,08:30:00,23,Tue
26/07/2016,20,07:44:00,08:05:00,21,Tue
27/07/2016,21,08:09:00,08:28:00,19,Wed
08/08/2016,20,08:30:00,08:47:00,17,Mon
08/08/2016,16,17:57:00,18:12:00,15,Mon
09/08/2016,22,08:09:00,08:27:00,18,Tue
09/08/2016,16,19:20:00,19:34:00,14,Tue
11/08/2016,20,07:54:00,08:11:00,17,Thu
11/08/2016,17,18:00:00,18:15:00,15,Thu
16/08/2016,16,18:30:00,18:43:00,13,Tue
17/08/2016,20,08:31:00,08:51:00,20,Wed
18/08/2016,20,08:17:00,08:35:00,18,Thu
19/08/2016,18,07:17:00,07:32:00,15,Fri
22/08/2016,21,08:07:00,08:28:00,21,Mon
22/08/2016,17,17:52:00,18:07:00,15,Mon
23/08/2016,21,08:22:00,08:40:00,18,Tue
24/08/2016,22,08:08:00,08:26:00,18,Wed
24/08/2016,16,18:09:00,18:24:00,15,Wed
30/08/2016,21,08:17:00,08:39:00,22,Tue
30/08/2016,16,12:48:00,13:01:00,13,Tue
31/08/2016,23,08:36:00,08:52:00,16,Wed
31/08/2016,19,18:15:00,18:31:00,16,Wed
05/09/2016,22,08:22:00,08:48:00,26,Mon
05/09/2016,17,18:12:00,18:26:00,14,Mon
06/09/2016,23,08:07:00,08:39:00,32,Tue
06/09/2016,17,18:17:00,18:30:00,13,Tue
07/09/2016,26,08:31:00,08:59:00,28,Wed
08/09/2016,19,07:18:00,07:34:00,16,Thu
09/09/2016,21,08:04:00,08:27:00,23,Fri
09/09/2016,17,18:28:00,18:42:00,14,Fri
12/09/2016,23,08:25:00,08:54:00,29,Mon
12/09/2016,16,18:13:00,18:26:00,13,Mon
15/09/2016,22,08:19:00,08:45:00,26,Thu
15/09/2016,18,18:13:00,18:28:00,15,Thu
21/09/2016,16,18:24:00,18:37:00,13,Wed
26/09/2016,21,08:16:00,08:39:00,23,Mon
26/09/2016,20,18:03:00,18:18:00,15,Mon
27/09/2016,24,08:44:00,09:09:00,25,Tue
27/09/2016,16,18:12:00,18:26:00,14,Tue
28/09/2016,24,08:16:00,08:43:00,27,Wed
29/09/2016,20,08:07:00,08:32:00,25,Thu
29/09/2016,22,17:57:00,18:13:00,16,Thu
30/09/2016,21,08:22:00,08:44:00,22,Fri
30/09/2016,16,18:07:00,18:22:00,15,Fri
03/10/2016,22,08:12:00,08:36:00,24,Mon
03/10/2016,17,17:54:00,18:09:00,15,Mon
04/10/2016,24,08:37:00,09:03:00,26,Tue
04/10/2016,18,18:02:00,18:17:00,15,Tue
07/10/2016,20,18:15:00,18:31:00,16,Fri
10/10/2016,23,08:23:00,08:49:00,26,Mon
11/10/2016,20,08:10:00,08:38:00,28,Tue
11/10/2016,17,18:27:00,18:42:00,15,Tue
20/10/2016,24,08:28:00,09:01:00,33,Thu
24/10/2016,20,08:26:00,08:48:00,22,Mon
25/10/2016,21,08:12:00,08:30:00,18,Tue
25/10/2016,20,18:10:00,18:24:00,14,Tue
27/10/2016,21,08:25:00,08:42:00,17,Thu
27/10/2016,18,18:10:00,18:25:00,15,Thu
28/10/2016,19,08:27:00,08:43:00,16,Fri
31/10/2016,28,08:29:00,08:57:00,28,Mon
31/10/2016,17,18:18:00,18:34:00,16,Mon
01/11/2016,25,08:31:00,09:01:00,30,Tue
01/11/2016,19,17:39:00,18:02:00,23,Tue
08/11/2016,21,07:59:00,08:24:00,25,Tue
08/11/2016,17,18:56:00,19:11:00,15,Tue
10/11/2016,25,08:33:00,08:59:00,26,Thu
11/11/2016,22,08:16:00,08:44:00,28,Fri
14/11/2016,17,18:10:00,18:24:00,14,Mon
15/11/2016,26,08:24:00,09:00:00,36,Tue
18/11/2016,17,18:30:00,18:43:00,13,Fri
21/11/2016,25,08:20:00,08:51:00,31,Mon
22/11/2016,20,10:15:00,10:32:00,17,Tue
23/11/2016,28,08:29:00,08:59:00,30,Wed
25/11/2016,24,07:55:00,08:12:00,17,Fri
25/11/2016,17,19:55:00,20:08:00,13,Fri
05/12/2016,25,08:35:00,09:00:00,25,Mon
05/12/2016,17,18:14:00,18:29:00,15,Mon
07/12/2016,22,17:57:00,18:18:00,21,Wed
13/12/2016,27,08:26:00,08:55:00,29,Tue
13/12/2016,17,18:59:00,19:13:00,14,Tue
14/12/2016,15,18:16:00,18:30:00,14,Wed
15/12/2016,26,08:42:00,09:03:00,21,Thu
16/12/2016,20,08:39:00,08:55:00,16,Fri
16/12/2016,17,18:14:00,18:30:00,16,Fri
19/12/2016,22,08:16:00,08:36:00,20,Mon
19/12/2016,17,18:21:00,18:35:00,14,Mon
21/12/2016,20,08:13:00,08:31:00,18,Wed
21/12/2016,20,18:21:00,18:36:00,15,Wed
22/12/2016,19,08:24:00,08:38:00,14,Thu
22/12/2016,17,18:09:00,18:23:00,14,Thu
23/12/2016,19,08:37:00,08:51:00,14,Fri
03/01/2017,24,08:23:00,08:40:00,17,Tue
03/01/2017,17,18:20:00,18:35:00,15,Tue
04/01/2017,25,08:13:00,08:39:00,26,Wed
04/01/2017,18,18:10:00,18:25:00,15,Wed
05/01/2017,22,08:09:00,08:32:00,23,Thu
05/01/2017,17,18:26:00,18:40:00,14,Thu
06/01/2017,20,07:56:00,08:22:00,26,Fri
06/01/2017,17,18:24:00,18:37:00,13,Fri
09/01/2017,19,18:17:00,18:38:00,21,Mon
11/01/2017,28,08:21:00,08:50:00,29,Wed
11/01/2017,20,18:19:00,18:34:00,15,Wed
12/01/2017,26,08:19:00,08:45:00,26,Thu
16/01/2017,29,08:16:00,08:41:00,25,Mon
16/01/2017,18,18:12:00,18:27:00,15,Mon
18/01/2017,28,08:35:00,08:59:00,24,Wed
19/01/2017,24,08:13:00,08:42:00,29,Thu
19/01/2017,19,18:12:00,18:29:00,17,Thu
20/01/2017,18,10:16:00,10:30:00,14,Fri
20/01/2017,17,18:38:00,18:51:00,13,Fri
23/01/2017,24,08:25:00,08:54:00,29,Mon
23/01/2017,19,18:08:00,18:24:00,16,Mon
25/01/2017,27,08:15:00,08:45:00,30,Wed
25/01/2017,21,18:20:00,18:38:00,18,Wed
26/01/2017,25,08:24:00,08:55:00,31,Thu
27/01/2017,18,12:59:00,13:14:00,15,Fri
27/01/2017,17,18:29:00,18:43:00,14,Fri
30/01/2017,23,08:31:00,09:03:00,32,Mon
30/01/2017,17,18:57:00,19:10:00,13,Mon
31/01/2017,20,07:36:00,07:57:00,21,Tue
03/02/2017,20,08:50:00,09:08:00,18,Fri
06/02/2017,21,08:09:00,08:37:00,28,Mon
07/02/2017,19,07:27:00,07:47:00,20,Tue
07/02/2017,20,18:25:00,18:41:00,16,Tue
08/02/2017,26,08:31:00,08:59:00,28,Wed
08/02/2017,18,16:12:00,16:28:00,16,Wed
10/02/2017,19,08:44:00,09:00:00,16,Fri
10/02/2017,18,18:09:00,18:25:00,16,Fri
13/02/2017,23,08:35:00,08:55:00,20,Mon
13/02/2017,17,19:20:00,19:34:00,14,Mon
17/02/2017,19,08:28:00,08:43:00,15,Fri
20/02/2017,23,08:11:00,08:42:00,31,Mon
22/02/2017,17,22:12:00,22:25:00,13,Wed
24/02/2017,21,08:04:00,08:26:00,22,Fri
24/02/2017,18,18:12:00,18:27:00,15,Fri
27/02/2017,17,18:18:00,18:32:00,14,Mon
28/02/2017,18,12:38:00,12:54:00,16,Tue
28/02/2017,18,18:16:00,18:33:00,17,Tue
01/03/2017,24,08:07:00,08:39:00,32,Wed
01/03/2017,25,18:21:00,18:50:00,29,Wed
02/03/2017,24,08:22:00,08:55:00,33,Thu
02/03/2017,21,17:50:00,18:13:00,23,Thu
03/03/2017,18,12:50:00,13:07:00,17,Fri
03/03/2017,17,18:21:00,18:36:00,15,Fri
06/03/2017,25,08:17:00,08:50:00,33,Mon
06/03/2017,17,18:22:00,18:36:00,14,Mon
07/03/2017,27,08:20:00,08:50:00,30,Tue
09/03/2017,25,08:40:00,09:08:00,28,Thu
09/03/2017,17,18:33:00,18:47:00,14,Thu
10/03/2017,23,08:14:00,08:43:00,29,Fri
10/03/2017,17,18:18:00,18:32:00,14,Fri
13/03/2017,18,06:47:00,07:03:00,16,Mon
13/03/2017,17,17:49:00,18:04:00,15,Mon
14/03/2017,23,07:57:00,08:23:00,26,Tue
15/03/2017,20,09:18:00,09:38:00,20,Wed
15/03/2017,19,18:31:00,18:45:00,14,Wed
16/03/2017,18,10:37:00,10:52:00,15,Thu
16/03/2017,16,22:58:00,23:10:00,12,Thu
17/03/2017,22,08:28:00,08:48:00,20,Fri
17/03/2017,17,18:01:00,18:14:00,13,Fri
20/03/2017,34,08:19:00,09:08:00,49,Mon
20/03/2017,18,17:54:00,18:10:00,16,Mon
21/03/2017,19,07:27:00,07:47:00,20,Tue
22/03/2017,17,18:39:00,18:53:00,14,Wed
23/03/2017,20,09:12:00,09:35:00,23,Thu
23/03/2017,19,18:25:00,18:40:00,15,Thu
27/03/2017,26,08:19:00,08:50:00,31,Mon
27/03/2017,17,18:46:00,18:59:00,13,Mon
28/03/2017,29,08:15:00,08:52:00,37,Tue
28/03/2017,16,18:58:00,19:11:00,13,Tue
29/03/2017,20,07:34:00,07:54:00,20,Wed
29/03/2017,16,19:06:00,19:18:00,12,Wed
30/03/2017,19,07:21:00,07:37:00,16,Thu
31/03/2017,19,07:04:00,07:19:00,15,Fri
02/04/2017,15,08:51:00,09:03:00,12,Sun
05/04/2017,22,08:42:00,09:00:00,18,Wed
06/04/2017,17,20:22:00,20:35:00,13,Thu
07/04/2017,20,08:22:00,08:38:00,16,Fri
07/04/2017,22,18:27:00,18:41:00,14,Fri
10/04/2017,24,08:13:00,08:35:00,22,Mon
10/04/2017,17,18:14:00,18:29:00,15,Mon
12/04/2017,23,07:59:00,08:18:00,19,Wed
12/04/2017,30,18:19:00,18:55:00,36,Wed
13/04/2017,20,07:32:00,07:50:00,18,Thu
18/04/2017,18,18:18:00,18:33:00,15,Tue
19/04/2017,19,07:31:00,07:51:00,20,Wed
19/04/2017,21,18:00:00,18:23:00,23,Wed
20/04/2017,25,07:53:00,08:19:00,26,Thu
27/04/2017,17,19:12:00,19:25:00,13,Thu
02/05/2017,31,08:24:00,08:54:00,30,Tue
02/05/2017,17,17:55:00,18:11:00,16,Tue
03/05/2017,27,08:01:00,08:32:00,31,Wed
03/05/2017,16,18:46:00,18:59:00,13,Wed
05/05/2017,21,07:56:00,08:18:00,22,Fri
05/05/2017,16,18:30:00,18:44:00,14,Fri
08/05/2017,27,08:07:00,08:31:00,24,Mon
08/05/2017,17,11:42:00,11:55:00,13,Mon
09/05/2017,27,08:25:00,08:54:00,29,Tue
09/05/2017,15,21:51:00,22:04:00,13,Tue
15/05/2017,17,18:34:00,18:49:00,15,Mon
16/05/2017,27,08:00:00,08:30:00,30,Tue
17/05/2017,24,07:44:00,08:13:00,29,Wed
17/05/2017,21,18:12:00,18:36:00,24,Wed
18/05/2017,28,08:28:00,08:58:00,30,Thu
18/05/2017,19,18:27:00,18:46:00,19,Thu
19/05/2017,21,08:16:00,08:37:00,21,Fri
19/05/2017,17,12:31:00,12:45:00,14,Fri
22/05/2017,24,08:46:00,09:06:00,20,Mon
25/05/2017,22,08:57:00,09:19:00,22,Thu
25/05/2017,18,18:29:00,18:45:00,16,Thu
26/05/2017,22,08:05:00,08:24:00,19,Fri
30/05/2017,24,08:25:00,08:45:00,20,Tue
30/05/2017,16,18:41:00,18:54:00,13,Tue
31/05/2017,26,07:58:00,08:23:00,25,Wed
01/06/2017,22,08:34:00,08:51:00,17,Thu
01/06/2017,16,18:27:00,18:41:00,14,Thu
02/06/2017,20,08:10:00,08:29:00,19,Fri
02/06/2017,17,18:19:00,18:34:00,15,Fri
05/06/2017,21,08:50:00,09:09:00,19,Mon
05/06/2017,18,17:17:00,17:33:00,16,Mon
06/06/2017,30,08:22:00,08:56:00,34,Tue
06/06/2017,17,18:00:00,18:14:00,14,Tue
07/06/2017,24,07:55:00,08:20:00,25,Wed
08/06/2017,25,08:08:00,08:31:00,23,Thu
12/06/2017,21,07:47:00,08:14:00,27,Mon
12/06/2017,17,18:19:00,18:34:00,15,Mon
15/06/2017,19,12:37:00,12:54:00,17,Thu
16/06/2017,21,07:49:00,08:08:00,19,Fri
19/06/2017,25,08:19:00,08:44:00,25,Mon
19/06/2017,16,18:26:00,18:40:00,14,Mon
03/07/2017,25,08:17:00,08:39:00,22,Mon
03/07/2017,16,18:24:00,18:39:00,15,Mon
04/07/2017,25,08:23:00,08:50:00,27,Tue
04/07/2017,17,19:36:00,19:49:00,13,Tue
07/07/2017,20,08:15:00,08:36:00,21,Fri
07/07/2017,17,13:03:00,13:18:00,15,Fri
10/07/2017,26,08:06:00,08:29:00,23,Mon
10/07/2017,17,18:28:00,18:42:00,14,Mon
11/07/2017,26,08:30:00,08:53:00,23,Tue
12/07/2017,26,08:12:00,08:34:00,22,Wed
13/07/2017,24,08:33:00,08:52:00,19,Thu
13/07/2017,17,18:32:00,18:49:00,17,Thu
14/07/2017,27,08:18:00,08:43:00,25,Fri
17/07/2017,25,08:07:00,08:38:00,31,Mon
17/07/2017,16,18:43:00,18:58:00,15,Mon
18/07/2017,16,20:02:00,20:15:00,13,Tue
19/07/2017,28,08:18:00,08:43:00,25,Wed
20/07/2017,29,09:45:00,10:02:00,17,Thu
20/07/2017,17,18:33:00,18:49:00,16,Thu
21/07/2017,16,18:38:00,18:52:00,14,Fri
25/07/2017,21,08:38:00,09:00:00,22,Tue
25/07/2017,16,18:26:00,18:40:00,14,Tue
26/07/2017,22,08:13:00,08:36:00,23,Wed
26/07/2017,17,18:17:00,18:32:00,15,Wed
27/07/2017,21,08:35:00,08:55:00,20,Thu
27/07/2017,17,18:48:00,19:02:00,14,Thu
28/07/2017,17,17:52:00,18:08:00,16,Fri
31/07/2017,17,18:04:00,18:21:00,17,Mon
01/08/2017,19,09:26:00,09:42:00,16,Tue
01/08/2017,16,18:10:00,18:25:00,15,Tue
02/08/2017,22,08:36:00,08:55:00,19,Wed
